run,alt,f1,f2,pen_cap,epsilon,solucao,f3_robustez,f4_risco
1,1,1128.0,0.0,0.0,0.0,"0,1,1,3,2,2,3,0,0,0,1,4,2,3,3,0,1,4,0,2,1,4,3,3,0,4,4,2,3,3,3,2,4,3,2,4,0,1,1,0,1,3,1,4,4,2,2,0,2,4",0.09469251845308785,0.006281441211712366
1,2,1074.0,1.0,0.0,1.8888888888888888,"0,1,4,3,2,2,0,4,3,0,1,3,2,2,3,0,0,4,4,2,1,3,0,3,4,2,1,4,3,3,3,2,0,3,1,4,1,0,3,0,3,4,1,4,0,2,4,0,2,1",0.08976288302189925,0.005530010810792147
1,3,980.0,2.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,0,3,3,2,4,3,2,4,1,0,4,4,0,0,3,4,4,2,4,0,2,1",0.09611780229982823,0.005974062175340886
1,4,935.0,5.0,0.0,5.666666666666666,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,3,4,1,3,3,4,0,0,3,0,4,1,0,3,2,2,0,3,4,4,2,4,0,2,1",0.07930751832733993,0.0055496823143086635
1,5,914.0,7.0,0.0,7.555555555555555,"0,2,0,3,2,2,0,4,3,0,1,4,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,4,3,0,4,1,0,3,1,1,0,3,4,4,2,4,0,2,3",0.060087790874109204,0.007224395077068523
1,6,902.0,8.0,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",0.06302172079062328,0.007405984981450165
1,7,902.0,8.0,0.0,13.22222222222222,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",0.06302172079062328,0.007405984981450165
1,8,900.0,14.0,0.0,15.11111111111111,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",0.06269603891102016,0.0016861146912935672
1,9,896.0,16.0,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,0.0014723808927454025
2,1,1059.0,0.0,0.0,0.0,"0,2,0,3,2,2,2,4,3,3,1,3,1,4,4,0,4,4,0,2,1,4,2,3,3,3,4,1,0,3,3,0,0,3,0,4,0,1,1,4,2,1,1,4,4,2,0,2,2,3",0.09469251845308785,0.006133496646808199
2,2,1004.0,2.0,0.0,3.7777777777777777,"0,1,0,3,2,0,3,4,3,3,0,2,2,3,3,0,3,4,4,2,1,4,3,1,0,2,4,2,3,3,3,2,4,3,0,4,1,4,0,1,2,0,1,4,4,2,4,0,2,1",0.0829529221936069,0.006576800596400569
2,3,921.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",0.0782795859721774,0.006780312945416442
2,4,911.0,9.0,0.0,9.444444444444445,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,3,3,4,2,3,3,3,0,4,3,2,4,1,1,1,4,2,0,1,4,2,2,4,0,2,1",0.05923279550567249,0.007261275254066519
2,5,907.0,10.0,0.0,11.333333333333332,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,0,4,1,0,1,1,4,0,3,4,2,2,4,0,2,3",0.05035173811589909,0.007867362027350264
2,6,900.0,12.0,0.0,13.22222222222222,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.04563070802673949,0.00700299156192316
2,7,900.0,12.0,0.0,17.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.04563070802673949,0.00700299156192316
3,1,1158.0,0.0,0.0,0.0,"4,1,0,3,1,1,3,4,2,0,1,3,2,4,4,0,4,4,2,2,1,4,0,1,0,1,2,2,3,3,3,2,0,1,0,3,0,0,3,4,0,0,3,4,4,2,0,1,4,3",0.09469251845308785,0.004353931686433289
3,2,1089.0,1.0,0.0,1.8888888888888888,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1",0.09814652500599405,0.0020970803048624563
3,3,966.0,2.0,0.0,3.7777777777777777,"0,1,1,3,2,2,1,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,2,4,2,3,3,3,0,4,3,0,4,1,0,0,4,2,0,3,4,4,2,0,0,2,3",0.08487499529704251,0.005285004326277181
3,4,960.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",0.0827038348214607,0.003943404504664199
3,5,931.0,6.0,0.0,7.555555555555555,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,3,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,0",0.07122318893555084,0.005841691264100423
3,6,903.0,7.0,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.006212842092399724
3,7,901.0,10.0,0.0,13.22222222222222,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.06064088470199258,0.0020021337557700174
3,8,898.0,15.0,0.0,15.11111111111111,"0,1,0,3,2,0,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,1,4,0,3,4,4,2,4,0,2,3",0.034784759556178727,0.006801382764071681
3,9,897.0,16.0,0.0,17.0,"0,2,0,3,2,0,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,4,2,1,0,1,4,4,2,4,0,2,3",0.04516334771633423,0.0009743987058275809
