run,alt,f1,f2,pen_cap,w1,w2,solucao,f3_robustez,f4_risco
1,1,966.0,0.0,0.0,0.6,0.4,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3",0.09469251845308785,0.006126520249043248
1,2,923.0,3.0,0.0,0.7,0.3,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,1,3,4,0,0,1,4,4,2,4,0,2,1",0.08767584410796461,0.005456586077246172
1,3,935.0,2.0,0.0,0.8,0.1999999999999999,"0,1,1,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,2,1,0,3,4,4,2,4,0,2,1",0.08451925832216604,0.005897252891741187
1,4,909.0,6.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,2,2,3,3,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,3,4,1,0,1,4,4,2,4,0,2,3",0.06488421201007535,0.0068638207514302675
1,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.02831521949929273,0.008129716956598894
2,1,1048.0,0.0,0.0,0.1,0.9,"0,2,0,3,2,1,3,4,2,0,1,3,2,3,4,0,4,4,4,0,1,3,0,1,2,2,4,1,3,3,4,0,4,3,2,4,1,0,1,3,3,0,1,4,4,2,2,0,2,1",0.10323315507145496,0.0022781869503486997
2,2,1010.0,1.0,0.0,0.5,0.5,"0,1,4,3,2,2,1,2,3,3,1,3,4,3,4,0,0,4,1,2,1,4,0,1,3,2,4,2,0,3,3,0,0,3,2,4,0,0,1,3,2,0,1,4,4,2,4,0,2,4",0.08976288302189925,0.00612492217299394
2,3,954.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,2,0,4,3,3,1,2,2,3,4,0,0,4,4,2,1,4,3,1,0,3,4,2,3,3,3,0,4,3,0,4,1,0,1,1,2,0,1,4,4,2,2,4,2,3",0.08610153680317871,0.0069804514182079695
2,4,921.0,3.0,0.0,0.8,0.1999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,3,0,1,0,1,4,2,2,4,0,2,3",0.07802328676241829,0.005556655759216589
2,5,911.0,7.0,0.0,0.9,0.0999999999999999,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,0,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,1,4,4,0,1,4,4,2,4,0,2,3",0.07256435122064403,0.005495461228318585
2,6,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.02831521949929273,0.008129716956598894
3,1,1053.0,0.0,0.0,0.3,0.7,"0,1,4,3,2,3,3,4,3,0,1,4,2,0,3,0,2,4,4,2,1,4,0,3,0,3,4,2,2,3,4,0,4,3,1,4,1,0,0,1,3,0,1,3,4,2,2,0,2,3",0.09469251845308785,0.00539554640569609
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",0.08980463072823114,0.006602730982990996
3,3,930.0,2.0,0.0,0.7,0.3,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",0.0911464191623077,0.005295543875622857
3,4,903.0,7.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.006212842092399724
3,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.02831521949929273,0.008129716956598894
4,1,1020.0,0.0,0.0,0.4,0.6,"0,1,4,3,2,2,4,4,3,2,1,3,2,3,3,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,4,1,0,4,0,1,4,1,3,0,1,0,0,2,2,0,2,3",0.09469251845308785,0.006483441753781182
4,2,951.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",0.10327490277778686,0.0039932555008970645
4,3,916.0,4.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,0,4,3,0,1,4,2,2,4,0,2,3",0.0731274278613348,0.005856436204065805
4,4,891.0,18.0,0.0,1.0,0.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,2,4,1,1,1,1,4,0,1,4,2,2,4,0,2,3",0.0203939640928046,0.010143252391898607
5,1,960.0,2.0,0.0,0.6,0.4,"0,1,0,3,2,1,3,4,3,0,1,3,2,3,4,0,0,1,4,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,0,2,3,0,1,4,4,2,4,0,2,4",0.08641552607172324,0.006008837489449336
5,2,967.0,0.0,0.0,0.7,0.3,"0,2,0,3,2,2,3,4,3,0,1,3,2,4,4,0,4,4,0,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,1,1,3,4,2,0,1,4,4,2,2,0,3,1",0.09469251845308785,0.006476890690541798
5,3,909.0,3.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",0.07979633640780837,0.006535595287628719
5,4,891.0,18.0,0.0,1.0,0.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,2,4,1,1,1,1,4,0,1,4,2,2,4,0,2,3",0.0203939640928046,0.010143252391898607
