===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1573299.0000 (f1=899.00, f2=48.00, P_cap=1092400.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=27097.0000 (f1=1097.00, f2=2.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=7239.0000 (f1=1239.00, f2=0.00, P_cap=6000.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 5: Novo melhor! F=7238.0000 (f1=1238.00, f2=0.00, P_cap=6000.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 13: Novo melhor! F=7230.0000 (f1=1230.00, f2=0.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 16: Novo melhor! F=1178.0000 (f1=1178.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 40: Novo melhor! F=1128.0000 (f1=1128.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1128.0000 (f1=1128.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=1.89)] Solução inicial: F=1358437.1111 (f1=926.00, f2=60.00, P_cap=776400.00)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=28231.1111 (f1=1120.00, f2=3.00, P_cap=16000.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=2288.1111 (f1=1177.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=1240.0000 (f1=1240.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1217.0000 (f1=1217.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1202.0000 (f1=1202.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 4: Novo melhor! F=1164.0000 (f1=1164.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 5: Novo melhor! F=1154.0000 (f1=1154.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 5: Novo melhor! F=1121.0000 (f1=1121.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 28: Novo melhor! F=1102.0000 (f1=1102.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 32: Novo melhor! F=1096.0000 (f1=1096.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 57: Novo melhor! F=1095.0000 (f1=1095.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 64: Novo melhor! F=1074.0000 (f1=1074.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Fim. Melhor F=1074.0000 (f1=1074.00, f2=1.00, P_cap=0.00)

[GVNS-Pe(eps=3.78)] Solução inicial: F=825502.2222 (f1=880.00, f2=39.00, P_cap=472400.00)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1096.0000 (f1=1096.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1057.0000 (f1=1057.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1032.0000 (f1=1032.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1017.0000 (f1=1017.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=983.0000 (f1=983.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 17: Novo melhor! F=981.0000 (f1=981.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 17: Novo melhor! F=980.0000 (f1=980.00, f2=2.00, P_cap=0.00) (k=2)
