===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1409296.0000 (f1=896.00, f2=30.00, P_cap=1108400.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17395.0000 (f1=1395.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17250.0000 (f1=1250.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 1: Novo melhor! F=7323.0000 (f1=1323.00, f2=0.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 6: Novo melhor! F=7306.0000 (f1=1306.00, f2=0.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 6: Novo melhor! F=7219.0000 (f1=1219.00, f2=0.00, P_cap=6000.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 7: Novo melhor! F=1297.0000 (f1=1297.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 10: Novo melhor! F=1266.0000 (f1=1266.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 15: Novo melhor! F=1249.0000 (f1=1249.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 17: Novo melhor! F=1217.0000 (f1=1217.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 27: Novo melhor! F=1213.0000 (f1=1213.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 83: Novo melhor! F=1202.0000 (f1=1202.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 156: Novo melhor! F=1158.0000 (f1=1158.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 156: Novo melhor! F=1142.0000 (f1=1142.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 179: Novo melhor! F=1134.0000 (f1=1134.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 198: Novo melhor! F=1121.0000 (f1=1121.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 221: Novo melhor! F=1117.0000 (f1=1117.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 222: Novo melhor! F=1095.0000 (f1=1095.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1095.0000 (f1=1095.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=2.43)] Solução inicial: F=1303003.2857 (f1=889.00, f2=49.00, P_cap=836400.00)
[GVNS-Pe(eps=2.43)] Iter 0: Novo melhor! F=1214.0000 (f1=1214.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 0: Novo melhor! F=1108.0000 (f1=1108.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 0: Novo melhor! F=1106.0000 (f1=1106.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Iter 2: Novo melhor! F=1078.0000 (f1=1078.00, f2=2.00, P_cap=0.00) (k=2)
