===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=827328.0000 (f1=928.00, f2=31.00, P_cap=516400.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=57173.0000 (f1=1173.00, f2=2.00, P_cap=36000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17186.0000 (f1=1186.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 1: Novo melhor! F=7195.0000 (f1=1195.00, f2=0.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 7: Novo melhor! F=1277.0000 (f1=1277.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 12: Novo melhor! F=1199.0000 (f1=1199.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 31: Novo melhor! F=1126.0000 (f1=1126.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1126.0000 (f1=1126.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=1.89)] Solução inicial: F=868394.1111 (f1=883.00, f2=32.00, P_cap=566400.00)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=18283.1111 (f1=1172.00, f2=2.00, P_cap=16000.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=2312.1111 (f1=1201.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 1: Novo melhor! F=1241.0000 (f1=1241.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 1: Novo melhor! F=1205.0000 (f1=1205.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 2: Novo melhor! F=1176.0000 (f1=1176.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1128.0000 (f1=1128.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=1.89)] Iter 7: Novo melhor! F=1121.0000 (f1=1121.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 10: Novo melhor! F=1078.0000 (f1=1078.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 26: Novo melhor! F=1059.0000 (f1=1059.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 38: Novo melhor! F=1058.0000 (f1=1058.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 38: Novo melhor! F=1023.0000 (f1=1023.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Fim. Melhor F=1023.0000 (f1=1023.00, f2=1.00, P_cap=0.00)

[GVNS-Pe(eps=3.78)] Solução inicial: F=1244767.2222 (f1=945.00, f2=52.00, P_cap=761600.00)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1024.0000 (f1=1024.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1017.0000 (f1=1017.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 9: Novo melhor! F=1015.0000 (f1=1015.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=3.78)] Iter 9: Novo melhor! F=1005.0000 (f1=1005.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 24: Novo melhor! F=988.0000 (f1=988.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Fim. Melhor F=988.0000 (f1=988.00, f2=2.00, P_cap=0.00)

[GVNS-Pe(eps=5.67)] Solução inicial: F=1162669.3333 (f1=936.00, f2=38.00, P_cap=838400.00)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=1164.0000 (f1=1164.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=1115.0000 (f1=1115.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 1: Novo melhor! F=1106.0000 (f1=1106.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 2: Novo melhor! F=1104.0000 (f1=1104.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 2: Novo melhor! F=1102.0000 (f1=1102.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 2: Novo melhor! F=999.0000 (f1=999.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 5: Novo melhor! F=992.0000 (f1=992.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 6: Novo melhor! F=970.0000 (f1=970.00, f2=5.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=5.67)] Iter 15: Novo melhor! F=969.0000 (f1=969.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 25: Novo melhor! F=967.0000 (f1=967.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 49: Novo melhor! F=958.0000 (f1=958.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 56: Novo melhor! F=945.0000 (f1=945.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 66: Novo melhor! F=936.0000 (f1=936.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Fim. Melhor F=936.0000 (f1=936.00, f2=4.00, P_cap=0.00)

[GVNS-Pe(eps=7.56)] Solução inicial: F=1021769.4444 (f1=925.00, f2=44.00, P_cap=656400.00)
[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=1028.0000 (f1=1028.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=1006.0000 (f1=1006.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=991.0000 (f1=991.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=976.0000 (f1=976.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=972.0000 (f1=972.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=965.0000 (f1=965.00, f2=5.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=940.0000 (f1=940.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=932.0000 (f1=932.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 1: Novo melhor! F=917.0000 (f1=917.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 5: Novo melhor! F=911.0000 (f1=911.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Fim. Melhor F=911.0000 (f1=911.00, f2=7.00, P_cap=0.00)

[GVNS-Pe(eps=9.44)] Solução inicial: F=908858.5556 (f1=903.00, f2=42.00, P_cap=582400.00)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=1017.0000 (f1=1017.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=1008.0000 (f1=1008.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=997.0000 (f1=997.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=949.0000 (f1=949.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 2: Novo melhor! F=935.0000 (f1=935.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 5: Novo melhor! F=927.0000 (f1=927.00, f2=8.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Iter 8: Novo melhor! F=924.0000 (f1=924.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 10: Novo melhor! F=905.0000 (f1=905.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Fim. Melhor F=905.0000 (f1=905.00, f2=8.00, P_cap=0.00)

[GVNS-Pe(eps=11.33)] Solução inicial: F=904370.6667 (f1=904.00, f2=42.00, P_cap=596800.00)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=978.0000 (f1=978.00, f2=11.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=950.0000 (f1=950.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=927.0000 (f1=927.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 1: Novo melhor! F=922.0000 (f1=922.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 6: Novo melhor! F=914.0000 (f1=914.00, f2=10.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=11.33)] Iter 18: Novo melhor! F=910.0000 (f1=910.00, f2=7.00, P_cap=0.00) (k=2)
