[GVNS-Pw(w1=0.60,w2=0.40)] Solução inicial: F=168000.7991 (f1=925.00, f2=34.00, P_cap=168000.00)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 0: Novo melhor! F=0.2795 (f1=1005.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 0: Novo melhor! F=0.2385 (f1=1025.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 0: Novo melhor! F=0.1902 (f1=1022.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 0: Novo melhor! F=0.1863 (f1=1019.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 3: Novo melhor! F=0.1842 (f1=1000.00, f2=2.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 4: Novo melhor! F=0.1765 (f1=994.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 5: Novo melhor! F=0.1632 (f1=1001.00, f2=1.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 12: Novo melhor! F=0.1526 (f1=958.00, f2=3.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 21: Novo melhor! F=0.1244 (f1=936.00, f2=3.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.60,w2=0.40)] Iter 21: Novo melhor! F=0.1107 (f1=960.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.60,w2=0.40)] Fim. Melhor F=0.1107 (f1=960.00, f2=1.00, P_cap=0.00)

[GVNS-Pw(w1=0.70,w2=0.30)] Solução inicial: F=139600.6827 (f1=924.00, f2=38.00, P_cap=139600.00)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.2844 (f1=1070.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.2158 (f1=1013.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.1893 (f1=973.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.1744 (f1=963.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 2: Novo melhor! F=0.1739 (f1=985.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 4: Novo melhor! F=0.1474 (f1=945.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 12: Novo melhor! F=0.1472 (f1=956.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 21: Novo melhor! F=0.1423 (f1=975.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 37: Novo melhor! F=0.0915 (f1=941.00, f2=1.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.70,w2=0.30)] Fim. Melhor F=0.0915 (f1=941.00, f2=1.00, P_cap=0.00)

[GVNS-Pw(w1=0.80,w2=0.20)] Solução inicial: F=482400.2043 (f1=913.00, f2=15.00, P_cap=482400.00)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 0: Novo melhor! F=0.2231 (f1=989.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 0: Novo melhor! F=0.1726 (f1=953.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 0: Novo melhor! F=0.1453 (f1=950.00, f2=4.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 0: Novo melhor! F=0.1214 (f1=936.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 0: Novo melhor! F=0.1051 (f1=933.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 3: Novo melhor! F=0.0957 (f1=934.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 3: Novo melhor! F=0.0872 (f1=916.00, f2=4.00, P_cap=0.00) (k=1)
