run,alt,f1,f2,pen_cap,epsilon,solucao,f3_robustez,f4_risco
1,3,980.0,2.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,0,3,3,2,4,3,2,4,1,0,4,4,0,0,3,4,4,2,4,0,2,1",0.0961178022998282,0.0059740621753408
1,4,935.0,5.0,0.0,5.666666666666666,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,3,4,1,3,3,4,0,0,3,0,4,1,0,3,2,2,0,3,4,4,2,4,0,2,1",0.0793075183273399,0.0055496823143086
1,8,900.0,14.0,0.0,15.11111111111111,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",0.0626960389110201,0.0016861146912935
1,9,896.0,16.0,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,0.0014723808927454
2,1,1059.0,0.0,0.0,0.0,"0,2,0,3,2,2,2,4,3,3,1,3,1,4,4,0,4,4,0,2,1,4,2,3,3,3,4,1,0,3,3,0,0,3,0,4,0,1,1,4,2,1,1,4,4,2,0,2,2,3",0.0946925184530878,0.0061334966468081
2,3,921.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",0.0782795859721774,0.0067803129454164
2,6,900.0,12.0,0.0,13.22222222222222,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231
2,7,900.0,12.0,0.0,17.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231
3,2,1089.0,1.0,0.0,1.8888888888888888,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1",0.098146525005994,0.0020970803048624
3,3,966.0,2.0,0.0,3.7777777777777777,"0,1,1,3,2,2,1,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,2,4,2,3,3,3,0,4,3,0,4,1,0,0,4,2,0,3,4,4,2,0,0,2,3",0.0848749952970425,0.0052850043262771
3,4,960.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",0.0827038348214607,0.0039434045046641
