run,alt,f1,f2,pen_cap,w1,w2,solucao,f3_robustez,f4_risco
1,1,966.0,0.0,0.0,0.6,0.4,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3",0.0946925184530878,0.0061265202490432
1,2,923.0,3.0,0.0,0.7,0.3,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,1,3,4,0,0,1,4,4,2,4,0,2,1",0.0876758441079646,0.0054565860772461
1,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988
2,1,1048.0,0.0,0.0,0.1,0.9,"0,2,0,3,2,1,3,4,2,0,1,3,2,3,4,0,4,4,4,0,1,3,0,1,2,2,4,1,3,3,4,0,4,3,2,4,1,0,1,3,3,0,1,4,4,2,2,0,2,1",0.1032331550714549,0.0022781869503486
2,2,1010.0,1.0,0.0,0.5,0.5,"0,1,4,3,2,2,1,2,3,3,1,3,4,3,4,0,0,4,1,2,1,4,0,1,3,2,4,2,0,3,3,0,0,3,2,4,0,0,1,3,2,0,1,4,4,2,4,0,2,4",0.0897628830218992,0.0061249221729939
2,4,921.0,3.0,0.0,0.8,0.1999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,3,0,1,0,1,4,2,2,4,0,2,3",0.0780232867624182,0.0055566557592165
2,5,911.0,7.0,0.0,0.9,0.0999999999999999,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,0,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,1,4,4,0,1,4,4,2,4,0,2,3",0.072564351220644,0.0054954612283185
2,6,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",0.0898046307282311,0.0066027309829909
3,3,930.0,2.0,0.0,0.7,0.3,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",0.0911464191623077,0.0052955438756228
3,4,903.0,7.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.0062128420923997
3,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988
4,2,951.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",0.1032749027777868,0.003993255500897
4,3,916.0,4.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,0,4,3,0,1,4,2,2,4,0,2,3",0.0731274278613348,0.0058564362040658
5,3,909.0,3.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",0.0797963364078083,0.0065355952876287
