run,alt,f1,f2,f3_robustez,f4_estabilidade,pen_cap,epsilon,solucao,metodo,w1,w2,cluster,n_f1,n_f2,n_f3,n_f4,Score_Global
4,2,951.0,2.0,1.3157894736842155,1.601607177701826,0.0,,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",Pw,0.7,0.3,17,0.7666666666666667,0.8823529411764706,0.49999999999999994,0.39398411900906083,0.7120848994600887
3,7,901.0,10.0,2.255639097744366,1.6032044015304712,0.0,13.22222222222222,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",Pe,,,3,0.9518518518518518,0.4117647058823529,1.0,0.2859973462618275,0.7080179003175551
3,3,930.0,2.0,0.3759398496240654,1.5964676859146685,0.0,,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",Pw,0.7,0.3,10,0.8444444444444444,0.8823529411764706,0.0,0.7414602345681359,0.6983645531004061
5,2,1046.0,1.0,1.3157894736842155,1.5926436446594796,0.0,1.8888888888888888,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",Pe,,,1,0.4148148148148148,0.9411764705882353,0.49999999999999994,1.0,0.6674822723448733
5,3,909.0,3.0,0.3759398496240654,1.6032044015304712,0.0,,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",Pw,0.9,0.0999999999999999,16,0.9222222222222223,0.8235294117647058,0.0,0.2859973462618275,0.6546319044280664
5,3,985.0,3.0,1.3157894736842155,1.6032044015304712,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,4,2,3,3,0,0,4,1,2,1,4,0,3,4,2,4,2,3,3,3,3,4,1,0,4,1,0,1,2,0,0,3,4,4,2,4,0,2,1",Pe,,,5,0.6407407407407407,0.8235294117647058,0.49999999999999994,0.2859973462618275,0.6313226546640649
3,2,958.0,1.0,0.3759398496240654,1.6032044015304712,0.0,,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",Pw,0.6,0.4,8,0.7407407407407407,0.9411764705882353,0.0,0.2859973462618275,0.6213247049778534
2,3,921.0,5.0,0.3759398496240654,1.6012010547919282,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",Pe,,,0,0.8777777777777778,0.7058823529411765,0.0,0.4214416998390242,0.616500086110543
2,2,1004.0,2.0,0.3759398496240654,1.5946469913980224,0.0,3.7777777777777777,"0,1,0,3,2,0,3,4,3,3,0,2,2,3,3,0,3,4,4,2,1,4,3,1,0,2,4,2,3,3,3,2,4,3,0,4,1,4,0,1,2,0,1,4,4,2,4,0,2,1",Pe,,,12,0.5703703703703704,0.8823529411764706,0.0,0.8645556464228183,0.6066929250224702
3,6,903.0,7.0,0.3759398496240654,1.6012010547919282,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",Pe,,,6,0.9444444444444444,0.5882352941176471,0.0,0.4214416998390242,0.6051384349167666
