run,alt,f1,f2,f3_robustez,f4_estabilidade,pen_cap,epsilon,solucao,metodo,w1,w2,cluster,Phi_Net,Phi_Plus,Phi_Minus,Rank_Promethee
3,3,930.0,2.0,0.0911464191623077,1.6094097516857568,0.0,,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",Pw,0.7,0.3,13,0.23241225447844688,0.3226032371383834,0.09019098265993654,1
4,2,951.0,2.0,0.1032749027777868,1.6094197715702871,0.0,,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",Pw,0.7,0.3,4,0.2121920287015393,0.33668182345065606,0.12448979474911677,2
5,3,909.0,3.0,0.0797963364078083,1.609396497203797,0.0,,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",Pw,0.9,0.0999999999999999,8,0.20013335493599993,0.31178949794708943,0.11165614301108952,3
1,1,966.0,0.0,0.0946925184530878,1.6094379124341005,0.0,,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3",Pw,0.6,0.4,14,0.18699571595601092,0.3394698351609216,0.1524741192049107,4
2,3,921.0,5.0,0.0782795859721774,1.609248805521788,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",Pe,,,12,0.10420424257732522,0.28501088648615236,0.18080664390882714,5
1,3,980.0,2.0,0.0961178022998282,1.609412918111112,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,0,3,3,2,4,3,2,4,1,0,4,4,0,0,3,4,4,2,4,0,2,1",Pe,,,10,0.09620928193243194,0.29578551488132365,0.1995762329488917,6
1,4,935.0,5.0,0.0793075183273399,1.6092757577261805,0.0,5.666666666666666,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,3,4,1,3,3,4,0,0,3,0,4,1,0,3,2,2,0,3,4,4,2,4,0,2,1",Pe,,,5,0.06782500259300911,0.2704111184866675,0.20258611589365838,7
3,6,903.0,7.0,0.0677605850574345,1.6090792244367,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",Pe,,,0,0.03384598693971069,0.2975091225461093,0.2636631356063986,8
1,6,902.0,8.0,0.0630217207906232,1.6090172118961488,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",Pe,,,18,-0.006105794209921245,0.2936341955636745,0.2997399897735957,9
5,2,1046.0,1.0,0.101658847766669,1.6094306974486623,0.0,1.8888888888888888,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",Pe,,,9,-0.033289019566585476,0.28273909630876765,0.3160281158753531,10
